workflow,sourceWorkflow,sheet,order,task,description,targetDays,taskType,reviewType,assignee,dependentOn,dependents
Hosted Assess (NEW),Hosted Assess,Hosted Assess,15,CRF Costs prepared,Synthetic workflow template row for public demonstration.,10,Costing,CRF,CRF Administrator,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,16,Check contract requirements,Synthetic workflow template row for public demonstration.,7,Contracts,,Research Contracts SO,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,17,Project currently in pre-submission requiring Labs,Synthetic workflow template row for public demonstration.,7,Action,Trust Labs,Labs,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,18,Pharmacy Feasibility,Synthetic workflow template row for public demonstration.,7,Action,Pharmacy,Pharmacist,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,19,Project currently in pre-submission requiring Imaging,Synthetic workflow template row for public demonstration.,7,Action,Radiology,Radiology,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,20,Project currently in pre-submission involving RIBs,Synthetic workflow template row for public demonstration.,7,Action,Biobank,Biobank,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,21,Project currently in pre-submission involving CRF,Synthetic workflow template row for public demonstration.,7,Action,CRF,CRF,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,22,Project currently in pre-submission involving Ophthalmic Imaging,Synthetic workflow template row for public demonstration.,7,Action,Ophthalmic Imaging,Ophthalmic Imaging,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,23,Project currently in pre-submission involving Ophthalmic Support,Synthetic workflow template row for public demonstration.,7,Action,Ophthamology,Ophthalmic Support,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,24,Project being supplied equipment,Synthetic workflow template row for public demonstration.,7,Action,Devices,Research Support Manager,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,25,Confirm Hive build has started (Hive Analyst),Synthetic workflow template row for public demonstration.,7,Action,Clinical Trial,Hive Analyst,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,26,Confirm Hive build has started (R&I Builder),Synthetic workflow template row for public demonstration.,7,Action,Clinical Trial,Research Office Administrator,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,27,ARC Application meeting arranged,Synthetic workflow template row for public demonstration.,5,Action,CRF,CRF Administrator,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,28,ARC Approval,Synthetic workflow template row for public demonstration.,28,Documentation,CRF,CRF Administrator,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,29,RSO to generate CRF Study Setup and Approval workflow against study record.,Synthetic workflow template row for public demonstration.,7,Action,CRF,Research Office Administrator,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,30,CRF Costs approved by Sponsor,Synthetic workflow template row for public demonstration.,5,Costing,CRF,CRF,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,31,Complete Recruitment Plan,Synthetic workflow template row for public demonstration.,7,Action,,Research Coordinator,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,32,Risk Assessment and Planning review,Synthetic workflow template row for public demonstration.,7,Action,,Clinical Trials Manager,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,33,Consider service support implications,Synthetic workflow template row for public demonstration.,7,Action,,Research & Innovation Manager,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,34,RV Operational Sign Off  and Risk Assessment,Synthetic workflow template row for public demonstration.,7,Action,Mobile Medical Unit,Research & Innovation Manager,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,35,Send notification to the Clinical Director,Synthetic workflow template row for public demonstration.,8,Action,,Clinical Trials Manager,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,36,Pharmacy Risk Assessment,Synthetic workflow template row for public demonstration.,30,Action,Pharmacy,Pharmacist,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,37,RSO evaluate local information pack,Synthetic workflow template row for public demonstration.,2,Action,,Research Office Administrator,,
Hosted Assess (NEW),Hosted Assess,Hosted Assess,38,Received PI Responsibilities,Synthetic workflow template row for public demonstration.,14,Documentation,CRF,CRF Administrator,,
Hosted Assess (NEW),CRF Led,Hosted Assess,39,ORCID ID,Synthetic workflow template row for public demonstration.,14,Action,CRF,CRF Administrator,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,1,"SoE/SoECAT or Costing Template received, EPR record created & documents uploaded",Synthetic workflow template row for public demonstration.,,Action,,Research Office Administrator,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,4,Finance Review,Synthetic workflow template row for public demonstration.,7,Costing,,Finance Officer,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,5,HRA Approval Letter,Synthetic workflow template row for public demonstration.,21,Documentation,,Research Office Administrator,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,6,Check if study is adopted,Synthetic workflow template row for public demonstration.,14,Action,,Research Office Administrator,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,7,Check qualifications of research team,Synthetic workflow template row for public demonstration.,7,Action,,Research Office Administrator,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,8,Receipt of clinical director notification,Synthetic workflow template row for public demonstration.,2,Documentation,,Research Office Administrator,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,10,RIBs - capacity and capability,Synthetic workflow template row for public demonstration.,7,Approval Sign-off,Biobank,Biobank,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,11,Labs - capacity and capability,Synthetic workflow template row for public demonstration.,7,Approval Sign-off,Trust Labs,Labs,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,12,CRF - Capacity and capability,Synthetic workflow template row for public demonstration.,7,Approval Sign-off,CRF,CRF,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,13,Pharmacy Technical Green Light,Synthetic workflow template row for public demonstration.,21,Action,Pharmacy,Pharmacist,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,14,Ophthalmic Imaging - capacity and capability,Synthetic workflow template row for public demonstration.,7,Action,Ophthalmic Imaging,Ophthalmic Imaging,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,15,Ophthalmic Support - capacity and capability,Synthetic workflow template row for public demonstration.,7,Action,Ophthamology,Ophthalmic Support,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,16,Imaging green light,Synthetic workflow template row for public demonstration.,7,Action,Radiology,Radiology,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,17,Ionising Radiation Review,Synthetic workflow template row for public demonstration.,7,Action,,Research Office Administrator,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,18,Hive build validated (Hive Analyst),Synthetic workflow template row for public demonstration.,7,Action,Clinical Trial,Hive Analyst,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,19,Hive build validated (R&I Builder),Synthetic workflow template row for public demonstration.,7,Action,Clinical Trial,Research Office Administrator,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,20,Complete the technical validation for the R&I builder’s work,Synthetic workflow template row for public demonstration.,7,Action,Clinical Trial,Hive Analyst,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,21,Final contract or OID review (including costs/targets agreed incorporated),Synthetic workflow template row for public demonstration.,7,Contracts,,Research Contracts Manager,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,22,Date Trust confirmed by Sponsor (formerly Contract signed by Sponsor),Synthetic workflow template row for public demonstration.,7,Contracts,,Research Contracts Manager,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,23,Contract fully executed and/or OID ready for CCC,Synthetic workflow template row for public demonstration.,3,Contracts,,Research Contracts Manager,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,24,Set up cost code,Synthetic workflow template row for public demonstration.,3,Costing,,Grant Code Officer,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,25,Create and issue reconciliation tracker,Synthetic workflow template row for public demonstration.,7,Costing,,Finance Assistant,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,26,Site Ready (for CCC),Synthetic workflow template row for public demonstration.,28,Action,,Research Office Administrator,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,27,Confirmation Review,Synthetic workflow template row for public demonstration.,2,Action,,Research Operations Manager,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,28,Set up reconciliation tracker and Invoice for set-up fees,Synthetic workflow template row for public demonstration.,4,Costing,,Research Coordinator,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,29,Email confirmation of capacity and capability,Synthetic workflow template row for public demonstration.,2,Action,,Research Office Administrator,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,30,Send final Costing Template to DLM,Synthetic workflow template row for public demonstration.,2,Action,Trust Labs,Research Office Administrator,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,31,Send final agreed costing template to CRF,Synthetic workflow template row for public demonstration.,2,Action,CRF,Research Office Administrator,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,32,CRF Cost split,Synthetic workflow template row for public demonstration.,28,Costing,CRF,CRF Administrator,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,33,Non Commercial studies - set up invoicing for study per contract/ Commercial studies – journal transfer for set up fees,Synthetic workflow template row for public demonstration.,14,Costing,,Finance Assistant,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,34,SIV date,Synthetic workflow template row for public demonstration.,14,Action,,Research Coordinator,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,35,Green light to recruit,Synthetic workflow template row for public demonstration.,14,Action,,Research Coordinator,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,36,Change Study Status,Synthetic workflow template row for public demonstration.,2,Action,,Research Office Administrator,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,37,1st Patient recruited / 1st Patient Delay Reasons,Synthetic workflow template row for public demonstration.,30,First Patient,,Research Coordinator,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,38,Notify Imaging of 1st Patient Recruited,Synthetic workflow template row for public demonstration.,7,Action,Radiology,Research Coordinator,,
Hosted Arrange (NEW),Hosted,Hosted Arrange,39,Send C+C data,Synthetic workflow template row for public demonstration.,2,Action,,Research Office Administrator,,
Mini-Hosted (No Hive tasks),Mini-Hosted,Mini-Hosted - No Hive,1,Provide the Local Information Pack,Synthetic workflow template row for public demonstration.,,Action,,Research Coordinator,,
Mini-Hosted (No Hive tasks),Mini-Hosted,Mini-Hosted - No Hive,2,PI GCP (N/A for PIC),Synthetic workflow template row for public demonstration.,7,Action,,Research Office Administrator,,
Mini-Hosted (No Hive tasks),Mini-Hosted,Mini-Hosted - No Hive,3,Complete Recruitment Plan,Synthetic workflow template row for public demonstration.,7,Action,,Research Coordinator,,
Mini-Hosted (No Hive tasks),Mini-Hosted,Mini-Hosted - No Hive,4,Send notification to the Clinical Director,Synthetic workflow template row for public demonstration.,7,Action,,Clinical Trials Manager,,
Mini-Hosted (No Hive tasks),Mini-Hosted,Mini-Hosted - No Hive,5,Local Information Pack Complete,Synthetic workflow template row for public demonstration.,2,Action,,Research Office Administrator,,
Mini-Hosted (No Hive tasks),Mini-Hosted,Mini-Hosted - No Hive,6,HRA Approval Letter,Synthetic workflow template row for public demonstration.,14,Documentation,,Research Office Administrator,,
Mini-Hosted (No Hive tasks),Mini-Hosted,Mini-Hosted - No Hive,7,Receipt of clinical director notification,Synthetic workflow template row for public demonstration.,2,Documentation,,Research Office Administrator,,
Mini-Hosted (No Hive tasks),Hosted Assess,Mini-Hosted - No Hive,8,Mini-Hosted: Check contract requirements,Synthetic workflow template row for public demonstration.,7,Contracts,,Research Contracts SO,,
Mini-Hosted (No Hive tasks),Mini-Hosted,Mini-Hosted - No Hive,9,Finance review,Synthetic workflow template row for public demonstration.,7,Costing,,Finance Officer,,
Mini-Hosted (No Hive tasks),Mini-Hosted,Mini-Hosted - No Hive,10,Mini-Hosted: Final contract or OID reviewed,Synthetic workflow template row for public demonstration.,7,Contracts,,Research Contracts Manager,,
Mini-Hosted (No Hive tasks),Mini-Hosted,Mini-Hosted - No Hive,11,Mini-Hosted: Contract fully executed and/or OID ready for CCC,Synthetic workflow template row for public demonstration.,2,Contracts,,Research Contracts Manager,,
Mini-Hosted (No Hive tasks),Mini-Hosted,Mini-Hosted - No Hive,12,Confirmation Review,Synthetic workflow template row for public demonstration.,2,Action,,Research Operations Manager,,
Mini-Hosted (No Hive tasks),Mini-Hosted,Mini-Hosted - No Hive,13,Set up cost code,Synthetic workflow template row for public demonstration.,3,Costing,,Grant Code Officer,,
Mini-Hosted (No Hive tasks),Mini-Hosted,Mini-Hosted - No Hive,14,Create and issue reconciliation tracker,Synthetic workflow template row for public demonstration.,7,Costing,,Finance Assistant,,
Mini-Hosted (No Hive tasks),Mini-Hosted,Mini-Hosted - No Hive,15,Email confirmation of capacity and capability,Synthetic workflow template row for public demonstration.,1,Action,,Research Office Administrator,,
Mini-Hosted (No Hive tasks),Hosted,Mini-Hosted - No Hive,16,Green light to recruit (N/A for PIC),Synthetic workflow template row for public demonstration.,14,Action,,Research Coordinator,,
Mini-Hosted (No Hive tasks),Hosted,Mini-Hosted - No Hive,17,Change Study Status,Synthetic workflow template row for public demonstration.,2,Action,,Research Office Administrator,,
Mini-Hosted (No Hive tasks),Hosted,Mini-Hosted - No Hive,18,Set up reconciliation tracker and Invoice for set-up fees,Synthetic workflow template row for public demonstration.,4,Action,,Research Coordinator,,
Mini-Hosted (No Hive tasks),Hosted,Mini-Hosted - No Hive,19,Non Commercial studies - set up invoicing for study per contract/ Commercial studies – journal transfer for set up fees,Synthetic workflow template row for public demonstration.,14,Costing,,Finance Assistant,,
Mini-Hosted (No Hive tasks),Hosted,Mini-Hosted - No Hive,20,1st Patient recruited / 1st Patient Delay Reasons (N/A for PIC and non-recruiting studies),Synthetic workflow template row for public demonstration.,30,First Patient,,Research Coordinator,,
Mini-Hosted (No Hive tasks),Hosted,Mini-Hosted - No Hive,21,Send C+C data,Synthetic workflow template row for public demonstration.,2,Action,,Research Office Administrator,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,1,Provide the Local Information Pack,Synthetic workflow template row for public demonstration.,,Action,,Research Coordinator,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,2,Provide date Trust invited and selected,Synthetic workflow template row for public demonstration.,,,,Research Coordinator,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,3,PI GCP,Synthetic workflow template row for public demonstration.,7,Action,,Research Office Administrator,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,4,Send Hive build requirements,Synthetic workflow template row for public demonstration.,14,Action,,Research Coordinator,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,5,Complete Recruitment Plan,Synthetic workflow template row for public demonstration.,7,Action,,Research Coordinator,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,6,Send notification to the Clinical Director,Synthetic workflow template row for public demonstration.,7,Action,,Clinical Trials Manager,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,7,Confirm Hive build has started (Hive Analyst),Synthetic workflow template row for public demonstration.,7,Action,,Hive Analyst,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,8,Confirm Hive build has started (R&I Builder),Synthetic workflow template row for public demonstration.,7,Action,,Research Office Administrator,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,9,Local Information Pack Complete,Synthetic workflow template row for public demonstration.,2,Action,,Research Office Administrator,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,10,HRA Approval Letter,Synthetic workflow template row for public demonstration.,14,Documentation,,Research Office Administrator,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,11,Receipt of clinical director notification,Synthetic workflow template row for public demonstration.,2,Documentation,,Research Office Administrator,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,12,Hive build validated (Hive Analyst),Synthetic workflow template row for public demonstration.,7,Action,,Hive Analyst,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,13,Hive build validated (R&I Builder),Synthetic workflow template row for public demonstration.,7,Action,,Research Office Administrator,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,14,Complete the technical validation for the R&I builder’s work,Synthetic workflow template row for public demonstration.,7,Action,,Hive Analyst,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,15,Mini-Hosted: Check contract requirements,Synthetic workflow template row for public demonstration.,7,Contracts,,Research Contracts SO,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,16,Finance review,Synthetic workflow template row for public demonstration.,7,Costing,,Finance Officer,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,17,Mini-Hosted: Final contract or OID reviewed,Synthetic workflow template row for public demonstration.,7,Contracts,,Research Contracts Manager,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,18,Mini-Hosted: Contract fully executed and/or OID ready for CCC,Synthetic workflow template row for public demonstration.,2,Contracts,,Research Contracts Manager,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,19,Confirmation Review,Synthetic workflow template row for public demonstration.,2,Action,,Research Operations Manager,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,20,Set up cost code,Synthetic workflow template row for public demonstration.,3,Costing,,Grant Code Officer,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,21,Create and issue reconciliation tracker,Synthetic workflow template row for public demonstration.,7,Costing,,Finance Assistant,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,22,Email confirmation of capacity and capability,Synthetic workflow template row for public demonstration.,1,Action,,Research Office Administrator,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,23,Green light to recruit (N/A for PIC),Synthetic workflow template row for public demonstration.,14,Action,,Research Coordinator,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,24,Change Study Status,Synthetic workflow template row for public demonstration.,2,Action,,Research Office Administrator,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,25,Set up reconciliation tracker and Invoice for set-up fees,Synthetic workflow template row for public demonstration.,4,Action,,Research Coordinator,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,26,Non Commercial studies - set up invoicing for study per contract/ Commercial studies – journal transfer for set up fees,Synthetic workflow template row for public demonstration.,14,Costing,,Finance Assistant,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,27,1st Patient recruited / 1st Patient Delay Reasons (N/A for PIC and non-recruiting studies),Synthetic workflow template row for public demonstration.,30,First Patient,,Research Coordinator,,
Mini-Hosted (Hive tasks),Mini-Hosted (Hive tasks),Mini-Hosted - Hive,28,Send C+C data,Synthetic workflow template row for public demonstration.,2,Action,,Research Office Administrator,,
