Project Code,Project Status,Study Type,Workflow,Task Name,Task Comment,Target Days to Complete,Date Site Selected,Date HRA approval,Date Created,Start Date,Due Date,Completion Date,On time or Late,Days to completion,Days active (if not complete),Task Status
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Date Trust confirmed by Sponsor (formerly Contract signed by Sponsor),Synthetic pending task awaiting next workflow action.,7,45897,45905,45933,45934,45941,,,,283,Pending
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Contract fully executed and/or OID ready for CCC,Synthetic pending task awaiting next workflow action.,3,45897,45905,45939,45942,45945,,,,275,Pending
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Set up cost code,Synthetic active task; completion date intentionally unavailable.,3,45897,45905,45934,45937,45940,,,,280,Active
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Create and issue reconciliation tracker,Synthetic completed task for demonstration data.,7,45897,45905,45941,45943,45950,45981,Late,38,,Complete
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Site Ready (for CCC),Synthetic active task; completion date intentionally unavailable.,28,45897,45905,45933,45933,45961,,,,284,Active
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Confirmation Review,Synthetic pending task awaiting next workflow action.,2,45897,45905,45935,45938,45940,,,,279,Pending
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Set up reconciliation tracker and Invoice for set-up fees,Synthetic pending task awaiting next workflow action.,4,45897,45905,45938,45938,45942,,,,279,Pending
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Email confirmation of capacity and capability,Synthetic completed task for demonstration data.,2,45897,45905,45944,45946,45948,45960,Late,14,,Complete
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Send final Costing Template to DLM,Synthetic completed task for demonstration data.,2,45897,45905,45940,45941,45943,45946,Late,5,,Complete
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Send final agreed costing template to CRF,Synthetic completed task for demonstration data.,2,45897,45905,45947,45950,45952,45965,Late,15,,Complete
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),CRF Cost split,Synthetic pending task awaiting next workflow action.,28,45897,45905,45939,45942,45970,,,,275,Pending
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Non Commercial studies - set up invoicing for study per contract/ Commercial studies – journal transfer for set up fees,Synthetic completed task for demonstration data.,14,45897,45905,45944,45945,45959,45961,Late,16,,Complete
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),SIV date,Synthetic pending task awaiting next workflow action.,14,45897,45905,45938,45939,45953,,,,278,Pending
D0001,Pending,Basic science study involving procedures with human participants,Hosted Arrange (NEW),Green light to recruit,Synthetic active task; completion date intentionally unavailable.,14,45897,45905,45945,45946,45960,,,,271,Active
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Provide the Local Information Pack,Synthetic completed task for demonstration data.,,45538,45538,45548,45549,,45557,On Time,8,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Provide date Trust invited and selected,Synthetic completed task for demonstration data.,,45538,45538,45539,45539,,45551,On Time,12,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Upload Documents received to date,Synthetic completed task for demonstration data.,,45538,45538,45542,45545,,45559,On Time,14,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),EPSC,Synthetic completed task for demonstration data.,4,45538,45538,45541,45543,45547,45552,Late,9,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),PI GCP,Synthetic completed task for demonstration data.,7,45538,45538,45542,45542,45549,45582,Late,40,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Contact Labs,Synthetic completed task for demonstration data.,7,45538,45538,45543,45543,45550,45548,On Time,5,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Contact Imaging,Synthetic completed task for demonstration data.,7,45538,45538,45549,45552,45559,45563,Late,11,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Contact Pharmacy,Synthetic active task; completion date intentionally unavailable.,7,45538,45538,45548,45549,45556,,,,668,Active
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Contact Research & Innovation Biospecimen Service (RIBs),Synthetic completed task for demonstration data.,7,45538,45538,45558,45560,45567,45573,Late,13,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Contact CRF,Synthetic completed task for demonstration data.,7,45538,45538,45548,45549,45556,45607,Late,58,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Contact Ophthalmic Imaging,Synthetic active task; completion date intentionally unavailable.,7,45538,45538,45560,45561,45568,,,,656,Active
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Contact Ophthalmic Support,Synthetic completed task for demonstration data.,7,45538,45538,45554,45556,45563,45586,Late,30,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Send Hive build requirements,Synthetic completed task for demonstration data.,14,45538,45538,45556,45556,45570,45563,On Time,7,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),CRF application form received and recorded on tracker,Synthetic completed task for demonstration data.,7,45538,45538,45551,45554,45561,45566,Late,12,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),CRF Costs prepared,Synthetic completed task for demonstration data.,10,45538,45538,45561,45562,45572,45564,On Time,2,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Check contract requirements,Synthetic active task; completion date intentionally unavailable.,7,45538,45538,45559,45561,45568,,,,656,Active
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Project currently in pre-submission requiring Labs,Synthetic completed task for demonstration data.,7,45538,45538,45554,45556,45563,45560,On Time,4,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Pharmacy Feasibility,Synthetic completed task for demonstration data.,7,45538,45538,45561,45561,45568,45574,Late,13,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Project currently in pre-submission requiring Imaging,Synthetic completed task for demonstration data.,7,45538,45538,45562,45563,45570,45563,On Time,0,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Project currently in pre-submission involving RIBs,Synthetic completed task for demonstration data.,7,45538,45538,45566,45569,45576,45576,On Time,7,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Project currently in pre-submission involving CRF,Synthetic completed task for demonstration data.,7,45538,45538,45568,45570,45577,45584,Late,14,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Project currently in pre-submission involving Ophthalmic Imaging,Synthetic completed task for demonstration data.,7,45538,45538,45565,45567,45574,45582,Late,15,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Project currently in pre-submission involving Ophthalmic Support,Synthetic completed task for demonstration data.,7,45538,45538,45568,45571,45578,45572,On Time,1,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Project being supplied equipment,Synthetic completed task for demonstration data.,7,45538,45538,45565,45568,45575,45575,On Time,7,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Confirm Hive build has started (Hive Analyst),Synthetic completed task for demonstration data.,7,45538,45538,45568,45571,45578,45589,Late,18,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Confirm Hive build has started (R&I Builder),Synthetic completed task for demonstration data.,7,45538,45538,45571,45574,45581,45579,On Time,5,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),ARC Application meeting arranged,Synthetic completed task for demonstration data.,5,45538,45538,45573,45573,45578,45576,On Time,3,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),ARC Approval,Synthetic completed task for demonstration data.,28,45538,45538,45565,45566,45594,45594,On Time,28,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),RSO to generate CRF Study Setup and Approval workflow against study record.,Synthetic completed task for demonstration data.,7,45538,45538,45570,45571,45578,45593,Late,22,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),CRF Costs approved by Sponsor,Synthetic completed task for demonstration data.,5,45538,45538,45574,45575,45580,45575,On Time,0,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Complete Recruitment Plan,Synthetic completed task for demonstration data.,7,45538,45538,45577,45577,45584,45581,On Time,4,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Risk Assessment and Planning review,Synthetic completed task for demonstration data.,7,45538,45538,45571,45574,45581,45591,Late,17,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Consider service support implications,Synthetic completed task for demonstration data.,7,45538,45538,45580,45582,45589,45582,On Time,0,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),RV Operational Sign Off  and Risk Assessment,Synthetic completed task for demonstration data.,7,45538,45538,45581,45582,45589,45582,On Time,0,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Send notification to the Clinical Director,Synthetic completed task for demonstration data.,8,45538,45538,45575,45577,45585,45628,Late,51,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Pharmacy Risk Assessment,Synthetic completed task for demonstration data.,30,45538,45538,45573,45573,45603,45587,On Time,14,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),RSO evaluate local information pack,Synthetic completed task for demonstration data.,2,45538,45538,45584,45586,45588,45604,Late,18,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Received PI Responsibilities,Synthetic completed task for demonstration data.,14,45538,45538,45580,45581,45595,45598,Late,17,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),ORCID ID,Synthetic completed task for demonstration data.,14,45538,45538,45581,45581,45595,45590,On Time,9,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Follow-up: Contact Labs,Synthetic completed task for demonstration data.,7,45538,45538,45588,45589,45596,45591,On Time,2,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Follow-up: ARC Application meeting arranged,Synthetic active task; completion date intentionally unavailable.,5,45538,45538,45586,45586,45591,,,,631,Active
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Follow-up: CRF Costs prepared,Synthetic completed task for demonstration data.,10,45538,45538,45588,45591,45601,45656,Late,65,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Follow-up: Consider service support implications,Synthetic completed task for demonstration data.,7,45538,45538,45586,45586,45593,45610,Late,24,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Follow-up: Project currently in pre-submission involving Ophthalmic Imaging,Synthetic completed task for demonstration data.,7,45538,45538,45585,45586,45593,45591,On Time,5,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Follow-up: Contact Ophthalmic Support,Synthetic completed task for demonstration data.,7,45538,45538,45585,45586,45593,45595,Late,9,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Follow-up: Contact Ophthalmic Support,Synthetic active task; completion date intentionally unavailable.,7,45538,45538,45595,45597,45604,,,,620,Active
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Follow-up: Send notification to the Clinical Director,Synthetic completed task for demonstration data.,8,45538,45538,45588,45589,45597,45600,Late,11,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Follow-up: EPSC,Synthetic completed task for demonstration data.,4,45538,45538,45596,45598,45602,45645,Late,47,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Follow-up: Check contract requirements,Synthetic active task; completion date intentionally unavailable.,7,45538,45538,45593,45596,45603,,,,621,Active
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Follow-up: CRF Costs prepared,Synthetic completed task for demonstration data.,10,45538,45538,45588,45591,45601,45594,On Time,3,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Follow-up: Check contract requirements,Synthetic active task; completion date intentionally unavailable.,7,45538,45538,45593,45596,45603,,,,621,Active
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Follow-up: EPSC,Synthetic completed task for demonstration data.,4,45538,45538,45590,45592,45596,45605,Late,13,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Follow-up: Check contract requirements,Synthetic completed task for demonstration data.,7,45538,45538,45597,45598,45605,45608,Late,10,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Follow-up: Confirm Hive build has started (R&I Builder),Synthetic completed task for demonstration data.,7,45538,45538,45601,45604,45611,45605,On Time,1,,Complete
D0002,Open,Clinical Trial of an Investigational Medicinal Product,Hosted Assess (NEW),Follow-up: ORCID ID,Synthetic completed task for demonstration data.,14,45538,45538,45604,45604,45618,45604,On Time,0,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Provide the Local Information Pack,Synthetic active task; completion date intentionally unavailable.,,45692,45715,45724,45724,,,,,493,Active
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),PI GCP (N/A for PIC),Synthetic completed task for demonstration data.,7,45692,45715,45723,45726,45733,45794,Late,68,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Complete Recruitment Plan,Synthetic completed task for demonstration data.,7,45692,45715,45720,45721,45728,45722,On Time,1,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Send notification to the Clinical Director,Synthetic active task; completion date intentionally unavailable.,7,45692,45715,45721,45724,45731,,,,493,Active
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Local Information Pack Complete,Synthetic completed task for demonstration data.,2,45692,45715,45723,45724,45726,45747,Late,23,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),HRA Approval Letter,Synthetic active task; completion date intentionally unavailable.,14,45692,45715,45729,45729,45743,,,,488,Active
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Receipt of clinical director notification,Synthetic completed task for demonstration data.,2,45692,45715,45727,45729,45731,45734,Late,5,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Mini-Hosted: Check contract requirements,Synthetic completed task for demonstration data.,7,45692,45715,45733,45733,45740,45756,Late,23,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Finance review,Synthetic completed task for demonstration data.,7,45692,45715,45725,45726,45733,45738,Late,12,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Mini-Hosted: Final contract or OID reviewed,Synthetic completed task for demonstration data.,7,45692,45715,45724,45727,45734,45727,On Time,0,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Mini-Hosted: Contract fully executed and/or OID ready for CCC,Synthetic active task; completion date intentionally unavailable.,2,45692,45715,45735,45735,45737,,,,482,Active
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Confirmation Review,Synthetic active task; completion date intentionally unavailable.,2,45692,45715,45738,45739,45741,,,,478,Active
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Set up cost code,Synthetic completed task for demonstration data.,3,45692,45715,45731,45734,45737,45739,Late,5,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Create and issue reconciliation tracker,Synthetic completed task for demonstration data.,7,45692,45715,45729,45732,45739,45734,On Time,2,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Email confirmation of capacity and capability,Synthetic completed task for demonstration data.,1,45692,45715,45730,45733,45734,45740,Late,7,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Green light to recruit (N/A for PIC),Synthetic completed task for demonstration data.,14,45692,45715,45738,45741,45755,45758,Late,17,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Change Study Status,Synthetic completed task for demonstration data.,2,45692,45715,45732,45732,45734,45745,Late,13,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Set up reconciliation tracker and Invoice for set-up fees,Synthetic completed task for demonstration data.,4,45692,45715,45735,45735,45739,45741,Late,6,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Non Commercial studies - set up invoicing for study per contract/ Commercial studies – journal transfer for set up fees,Synthetic active task; completion date intentionally unavailable.,14,45692,45715,45743,45745,45759,,,,472,Active
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),1st Patient recruited / 1st Patient Delay Reasons (N/A for PIC and non-recruiting studies),Synthetic active task; completion date intentionally unavailable.,30,45692,45715,45745,45747,45777,,,,470,Active
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Send C+C data,Synthetic completed task for demonstration data.,2,45692,45715,45744,45744,45746,45749,Late,5,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Follow-up: Complete Recruitment Plan,Synthetic completed task for demonstration data.,7,45692,45715,45746,45749,45756,45752,On Time,3,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Follow-up: Provide the Local Information Pack,Synthetic active task; completion date intentionally unavailable.,,45692,45715,45743,45743,,,,,474,Active
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Follow-up: Finance review,Synthetic active task; completion date intentionally unavailable.,7,45692,45715,45749,45751,45758,,,,466,Active
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Follow-up: Green light to recruit (N/A for PIC),Synthetic completed task for demonstration data.,14,45692,45715,45751,45754,45768,45758,On Time,4,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Follow-up: Non Commercial studies - set up invoicing for study per contract/ Commercial studies – journal transfer for set up fees,Synthetic completed task for demonstration data.,14,45692,45715,45746,45746,45760,45748,On Time,2,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Follow-up: Send notification to the Clinical Director,Synthetic completed task for demonstration data.,7,45692,45715,45748,45750,45757,45753,On Time,3,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Follow-up: Confirmation Review,Synthetic completed task for demonstration data.,2,45692,45715,45753,45755,45757,45758,Late,3,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Follow-up: Complete Recruitment Plan,Synthetic active task; completion date intentionally unavailable.,7,45692,45715,45745,45747,45754,,,,470,Active
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Follow-up: Complete Recruitment Plan,Synthetic completed task for demonstration data.,7,45692,45715,45750,45752,45759,45789,Late,37,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Follow-up: Send notification to the Clinical Director,Synthetic active task; completion date intentionally unavailable.,7,45692,45715,45754,45754,45761,,,,463,Active
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Follow-up: Mini-Hosted: Check contract requirements,Synthetic completed task for demonstration data.,7,45692,45715,45752,45755,45762,45805,Late,50,,Complete
D0003,Suspended,Clinical Investigation or other study of a medical device,Mini-Hosted (No Hive tasks),Follow-up: Non Commercial studies - set up invoicing for study per contract/ Commercial studies – journal transfer for set up fees,Synthetic active task; completion date intentionally unavailable.,14,45692,45715,45755,45755,45769,,,,462,Active
D0004,Pending,"Human tissue samples, human biological samples and/or data",Mini-Hosted (Hive tasks),Provide the Local Information Pack,Synthetic active task; completion date intentionally unavailable.,,45439,45426,45444,45444,,,,,773,Active
D0004,Pending,"Human tissue samples, human biological samples and/or data",Mini-Hosted (Hive tasks),Provide date Trust invited and selected,Synthetic active task; completion date intentionally unavailable.,,45439,45426,45441,45441,,,,,776,Active
D0004,Pending,"Human tissue samples, human biological samples and/or data",Mini-Hosted (Hive tasks),PI GCP,Synthetic completed task for demonstration data.,7,45439,45426,45453,45453,45460,45503,Late,50,,Complete
D0004,Pending,"Human tissue samples, human biological samples and/or data",Mini-Hosted (Hive tasks),Send Hive build requirements,Synthetic completed task for demonstration data.,14,45439,45426,45452,45452,45466,45457,On Time,5,,Complete
D0004,Pending,"Human tissue samples, human biological samples and/or data",Mini-Hosted (Hive tasks),Complete Recruitment Plan,Synthetic completed task for demonstration data.,7,45439,45426,45450,45453,45460,45460,On Time,7,,Complete
D0004,Pending,"Human tissue samples, human biological samples and/or data",Mini-Hosted (Hive tasks),Send notification to the Clinical Director,Synthetic pending task awaiting next workflow action.,7,45439,45426,45447,45449,45456,,,,768,Pending
D0004,Pending,"Human tissue samples, human biological samples and/or data",Mini-Hosted (Hive tasks),Confirm Hive build has started (Hive Analyst),Synthetic pending task awaiting next workflow action.,7,45439,45426,45446,45446,45453,,,,771,Pending
D0004,Pending,"Human tissue samples, human biological samples and/or data",Mini-Hosted (Hive tasks),Confirm Hive build has started (R&I Builder),Synthetic completed task for demonstration data.,7,45439,45426,45452,45454,45461,45456,On Time,2,,Complete
D0004,Pending,"Human tissue samples, human biological samples and/or data",Mini-Hosted (Hive tasks),Local Information Pack Complete,Synthetic active task; completion date intentionally unavailable.,2,45439,45426,45450,45450,45452,,,,767,Active
D0004,Pending,"Human tissue samples, human biological samples and/or data",Mini-Hosted (Hive tasks),HRA Approval Letter,Synthetic completed task for demonstration data.,14,45439,45426,45454,45457,45471,45465,On Time,8,,Complete
D0004,Pending,"Human tissue samples, human biological samples and/or data",Mini-Hosted (Hive tasks),Receipt of clinical director notification,Synthetic completed task for demonstration data.,2,45439,45426,45451,45454,45456,45463,Late,9,,Complete
D0004,Pending,"Human tissue samples, human biological samples and/or data",Mini-Hosted (Hive tasks),Hive build validated (Hive Analyst),Synthetic completed task for demonstration data.,7,45439,45426,45459,45460,45467,45471,Late,11,,Complete
D0004,Pending,"Human tissue samples, human biological samples and/or data",Mini-Hosted (Hive tasks),Hive build validated (R&I Builder),Synthetic completed task for demonstration data.,7,45439,45426,45462,45462,45469,45467,On Time,5,,Complete
D0004,Pending,"Human tissue samples, human biological samples and/or data",Mini-Hosted (Hive tasks),Complete the technical validation for the R&I builder’s work,Synthetic pending task awaiting next workflow action.,7,45439,45426,45454,45455,45462,,,,762,Pending
D0004,Pending,"Human tissue samples, human biological samples and/or data",Mini-Hosted (Hive tasks),Mini-Hosted: Check contract requirements,Synthetic completed task for demonstration data.,7,45439,45426,45456,45458,45465,45476,Late,18,,Complete
D0004,Pending,"Human tissue samples, human biological samples and/or data",Mini-Hosted (Hive tasks),Finance review,Synthetic pending task awaiting next workflow action.,7,45439,45426,45464,45467,45474,,,,750,Pending
